date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend,is_month_end,is_quarter_end,is_year_end
2021-09-20,2021-09-20,2021,3,9,September,38,20,1,Monday,False,False,False,False
2021-09-21,2021-09-21,2021,3,9,September,38,21,2,Tuesday,False,False,False,False
2021-09-22,2021-09-22,2021,3,9,September,38,22,3,Wednesday,False,False,False,False
2021-09-23,2021-09-23,2021,3,9,September,38,23,4,Thursday,False,False,False,False
2021-09-24,2021-09-24,2021,3,9,September,38,24,5,Friday,False,False,False,False
2021-09-25,2021-09-25,2021,3,9,September,38,25,6,Saturday,True,False,False,False
2021-09-26,2021-09-26,2021,3,9,September,38,26,7,Sunday,True,False,False,False
2021-09-27,2021-09-27,2021,3,9,September,39,27,1,Monday,False,False,False,False
2021-09-28,2021-09-28,2021,3,9,September,39,28,2,Tuesday,False,False,False,False
2021-09-29,2021-09-29,2021,3,9,September,39,29,3,Wednesday,False,False,False,False
2021-09-30,2021-09-30,2021,3,9,September,39,30,4,Thursday,False,True,True,False
2021-10-01,2021-10-01,2021,4,10,October,39,1,5,Friday,False,False,False,False
2021-10-02,2021-10-02,2021,4,10,October,39,2,6,Saturday,True,False,False,False
2021-10-03,2021-10-03,2021,4,10,October,39,3,7,Sunday,True,False,False,False
2021-10-04,2021-10-04,2021,4,10,October,40,4,1,Monday,False,False,False,False
2021-10-05,2021-10-05,2021,4,10,October,40,5,2,Tuesday,False,False,False,False
2021-10-06,2021-10-06,2021,4,10,October,40,6,3,Wednesday,False,False,False,False
2021-10-07,2021-10-07,2021,4,10,October,40,7,4,Thursday,False,False,False,False
2021-10-08,2021-10-08,2021,4,10,October,40,8,5,Friday,False,False,False,False
2021-10-09,2021-10-09,2021,4,10,October,40,9,6,Saturday,True,False,False,False
2021-10-10,2021-10-10,2021,4,10,October,40,10,7,Sunday,True,False,False,False
2021-10-11,2021-10-11,2021,4,10,October,41,11,1,Monday,False,False,False,False
2021-10-12,2021-10-12,2021,4,10,October,41,12,2,Tuesday,False,False,False,False
2021-10-13,2021-10-13,2021,4,10,October,41,13,3,Wednesday,False,False,False,False
2021-10-14,2021-10-14,2021,4,10,October,41,14,4,Thursday,False,False,False,False
2021-10-15,2021-10-15,2021,4,10,October,41,15,5,Friday,False,False,False,False
2021-10-16,2021-10-16,2021,4,10,October,41,16,6,Saturday,True,False,False,False
2021-10-17,2021-10-17,2021,4,10,October,41,17,7,Sunday,True,False,False,False
2021-10-18,2021-10-18,2021,4,10,October,42,18,1,Monday,False,False,False,False
2021-10-19,2021-10-19,2021,4,10,October,42,19,2,Tuesday,False,False,False,False
2021-10-20,2021-10-20,2021,4,10,October,42,20,3,Wednesday,False,False,False,False
2021-10-21,2021-10-21,2021,4,10,October,42,21,4,Thursday,False,False,False,False
2021-10-22,2021-10-22,2021,4,10,October,42,22,5,Friday,False,False,False,False
2021-10-23,2021-10-23,2021,4,10,October,42,23,6,Saturday,True,False,False,False
2021-10-24,2021-10-24,2021,4,10,October,42,24,7,Sunday,True,False,False,False
2021-10-25,2021-10-25,2021,4,10,October,43,25,1,Monday,False,False,False,False
2021-10-26,2021-10-26,2021,4,10,October,43,26,2,Tuesday,False,False,False,False
2021-10-27,2021-10-27,2021,4,10,October,43,27,3,Wednesday,False,False,False,False
2021-10-28,2021-10-28,2021,4,10,October,43,28,4,Thursday,False,False,False,False
2021-10-29,2021-10-29,2021,4,10,October,43,29,5,Friday,False,False,False,False
2021-10-30,2021-10-30,2021,4,10,October,43,30,6,Saturday,True,False,False,False
2021-10-31,2021-10-31,2021,4,10,October,43,31,7,Sunday,True,True,False,False
2021-11-01,2021-11-01,2021,4,11,November,44,1,1,Monday,False,False,False,False
2021-11-02,2021-11-02,2021,4,11,November,44,2,2,Tuesday,False,False,False,False
2021-11-03,2021-11-03,2021,4,11,November,44,3,3,Wednesday,False,False,False,False
2021-11-04,2021-11-04,2021,4,11,November,44,4,4,Thursday,False,False,False,False
2021-11-05,2021-11-05,2021,4,11,November,44,5,5,Friday,False,False,False,False
2021-11-06,2021-11-06,2021,4,11,November,44,6,6,Saturday,True,False,False,False
2021-11-07,2021-11-07,2021,4,11,November,44,7,7,Sunday,True,False,False,False
2021-11-08,2021-11-08,2021,4,11,November,45,8,1,Monday,False,False,False,False
2021-11-09,2021-11-09,2021,4,11,November,45,9,2,Tuesday,False,False,False,False
2021-11-10,2021-11-10,2021,4,11,November,45,10,3,Wednesday,False,False,False,False
2021-11-11,2021-11-11,2021,4,11,November,45,11,4,Thursday,False,False,False,False
2021-11-12,2021-11-12,2021,4,11,November,45,12,5,Friday,False,False,False,False
2021-11-13,2021-11-13,2021,4,11,November,45,13,6,Saturday,True,False,False,False
2021-11-14,2021-11-14,2021,4,11,November,45,14,7,Sunday,True,False,False,False
2021-11-15,2021-11-15,2021,4,11,November,46,15,1,Monday,False,False,False,False
2021-11-16,2021-11-16,2021,4,11,November,46,16,2,Tuesday,False,False,False,False
2021-11-17,2021-11-17,2021,4,11,November,46,17,3,Wednesday,False,False,False,False
2021-11-18,2021-11-18,2021,4,11,November,46,18,4,Thursday,False,False,False,False
2021-11-19,2021-11-19,2021,4,11,November,46,19,5,Friday,False,False,False,False
2021-11-20,2021-11-20,2021,4,11,November,46,20,6,Saturday,True,False,False,False
2021-11-21,2021-11-21,2021,4,11,November,46,21,7,Sunday,True,False,False,False
2021-11-22,2021-11-22,2021,4,11,November,47,22,1,Monday,False,False,False,False
2021-11-23,2021-11-23,2021,4,11,November,47,23,2,Tuesday,False,False,False,False
2021-11-24,2021-11-24,2021,4,11,November,47,24,3,Wednesday,False,False,False,False
2021-11-25,2021-11-25,2021,4,11,November,47,25,4,Thursday,False,False,False,False
2021-11-26,2021-11-26,2021,4,11,November,47,26,5,Friday,False,False,False,False
