event_id,user_id,event_type,event_ts,from_tier,to_tier,mrr_before_usd,mrr_after_usd,mrr_change_usd,country_code,trigger_context
25,983,churn,2024-01-18,Free,Free,0.0,0.0,0.0,SE,billing_failure
26,983,churn,2024-07-07,Free,Free,0.0,0.0,0.0,SE,organic
27,983,retention,2024-09-25,Free,Free,0.0,0.0,0.0,CA,content_launch
28,385,signup,2023-01-13,,Free,0.0,0.0,0.0,FR,organic
29,385,retention,2023-02-27,Free,Free,0.0,0.0,0.0,FR,content_launch
30,385,upgrade,2023-09-05,Free,Family,0.0,14.99,14.99,FR,reconciliation
31,1000,signup,2022-05-03,,Free,0.0,0.0,0.0,CA,paid_search
32,1000,churn,2023-01-24,Free,Free,0.0,0.0,0.0,CA,social_ad
33,1000,churn,2023-07-10,Free,Free,0.0,0.0,0.0,CA,price_promo
34,1000,retention,2024-02-07,Free,Free,0.0,0.0,0.0,CA,organic
35,1000,upgrade,2024-03-22,Free,Family,0.0,14.99,14.99,CA,reconciliation
36,489,signup,2021-09-04,,Premium,0.0,9.99,9.99,SE,organic
37,489,upgrade,2021-10-08,Premium,Family,9.99,14.99,5.0,SE,price_promo
38,489,downgrade,2021-12-28,Family,Premium,14.99,9.99,-5.0,SE,billing_failure
39,764,signup,2022-01-16,,Family,0.0,14.99,14.99,FR,organic
40,764,churn,2022-09-01,Family,Free,14.99,0.0,-14.99,FR,content_launch
41,764,upgrade,2023-03-16,Free,Family,0.0,14.99,14.99,FR,reconciliation
42,786,signup,2024-08-24,,Free,0.0,0.0,0.0,CA,referral
43,786,upgrade,2024-10-06,Free,Premium,0.0,9.99,9.99,CA,reconciliation
44,28,signup,2022-03-28,,Free,0.0,0.0,0.0,CA,organic
45,28,upgrade,2022-08-23,Free,Premium,0.0,9.99,9.99,CA,social_ad
46,28,downgrade,2022-09-25,Premium,Free,9.99,0.0,-9.99,CA,reconciliation
47,6,signup,2024-11-24,,Free,0.0,0.0,0.0,GB,paid_search
48,6,upgrade,2024-12-31,Free,Family,0.0,14.99,14.99,GB,reconciliation
49,923,signup,2021-12-19,,Free,0.0,0.0,0.0,BR,organic
50,923,upgrade,2022-02-27,Free,Premium,0.0,9.99,9.99,BR,paid_search
51,923,churn,2022-06-05,Premium,Free,9.99,0.0,-9.99,BR,price_promo
52,923,upgrade,2022-09-09,Free,Family,0.0,14.99,14.99,BR,reconciliation
53,933,signup,2023-11-22,,Premium,0.0,9.99,9.99,SE,social_ad
54,933,retention,2024-05-04,Premium,Premium,9.99,9.99,0.0,SE,retention_email
55,933,downgrade,2024-07-07,Premium,Free,9.99,0.0,-9.99,SE,reconciliation
56,132,signup,2023-04-18,,Free,0.0,0.0,0.0,DE,organic
57,132,upgrade,2023-06-16,Free,Premium,0.0,9.99,9.99,DE,organic
58,132,retention,2024-03-28,Premium,Premium,9.99,9.99,0.0,DE,organic
59,132,churn,2024-08-28,Premium,Free,9.99,0.0,-9.99,DE,paid_search
60,132,upgrade,2024-09-26,Free,Family,0.0,14.99,14.99,DE,reconciliation
61,646,signup,2023-10-15,,Premium,0.0,9.99,9.99,US,organic
62,646,retention,2024-06-11,Premium,Premium,9.99,9.99,0.0,US,content_launch
63,646,retention,2024-07-08,Premium,Premium,9.99,9.99,0.0,US,content_launch
64,646,retention,2024-10-24,Premium,Premium,9.99,9.99,0.0,US,organic
65,924,signup,2023-07-30,,Free,0.0,0.0,0.0,ZA,organic
66,924,upgrade,2023-12-18,Free,Family,0.0,14.99,14.99,ZA,reconciliation
67,951,signup,2023-10-29,,Free,0.0,0.0,0.0,JP,referral
68,951,churn,2023-11-19,Free,Free,0.0,0.0,0.0,JP,social_ad
69,951,upgrade,2024-08-11,Free,Premium,0.0,9.99,9.99,JP,billing_failure
70,951,upgrade,2024-10-12,Premium,Family,9.99,14.99,5.0,JP,retention_email
71,951,downgrade,2024-12-12,Family,Free,14.99,0.0,-14.99,JP,reconciliation
72,296,signup,2024-08-15,,Free,0.0,0.0,0.0,FR,organic
73,296,upgrade,2024-11-05,Free,Premium,0.0,9.99,9.99,FR,reconciliation
74,818,signup,2023-04-03,,Free,0.0,0.0,0.0,US,referral
75,818,upgrade,2023-05-01,Free,Premium,0.0,9.99,9.99,US,organic
76,818,churn,2023-05-21,Premium,Free,9.99,0.0,-9.99,US,referral
77,818,upgrade,2023-06-20,Free,Premium,0.0,9.99,9.99,US,retention_email
78,818,downgrade,2023-08-31,Premium,Free,9.99,0.0,-9.99,US,reconciliation
79,928,signup,2022-01-31,,Free,0.0,0.0,0.0,US,podcast_ad
80,928,upgrade,2022-03-31,Free,Premium,0.0,9.99,9.99,US,reconciliation
81,146,signup,2023-10-31,,Free,0.0,0.0,0.0,JP,referral
82,146,upgrade,2023-11-27,Free,Premium,0.0,9.99,9.99,JP,referral
83,146,retention,2024-07-13,Premium,Premium,9.99,9.99,0.0,JP,social_ad
84,146,downgrade,2024-08-16,Premium,Free,9.99,0.0,-9.99,JP,reconciliation
85,601,signup,2022-12-23,,Free,0.0,0.0,0.0,FR,organic
86,601,retention,2023-10-02,Free,Free,0.0,0.0,0.0,AU,organic
87,601,upgrade,2024-05-14,Free,Premium,0.0,9.99,9.99,FR,organic
88,601,churn,2024-07-18,Premium,Free,9.99,0.0,-9.99,FR,price_promo
89,601,upgrade,2024-12-01,Free,Family,0.0,14.99,14.99,FR,reconciliation
90,24,signup,2023-03-12,,Free,0.0,0.0,0.0,FR,referral
91,24,churn,2023-05-06,Free,Free,0.0,0.0,0.0,FR,paid_search
92,24,upgrade,2023-09-11,Free,Family,0.0,14.99,14.99,CA,social_ad
93,24,retention,2024-01-04,Family,Family,14.99,14.99,0.0,FR,organic
94,357,signup,2023-05-22,,Premium,0.0,9.99,9.99,FR,paid_search
95,357,retention,2024-07-25,Premium,Premium,9.99,9.99,0.0,FR,price_promo
96,357,downgrade,2024-08-18,Premium,Free,9.99,0.0,-9.99,FR,retention_email
97,357,upgrade,2024-09-09,Free,Premium,0.0,9.99,9.99,FR,reconciliation
98,11,signup,2022-07-13,,Free,0.0,0.0,0.0,AU,organic
99,11,churn,2022-11-09,Free,Free,0.0,0.0,0.0,AU,organic
100,11,churn,2024-05-03,Free,Free,0.0,0.0,0.0,AU,content_launch
101,11,churn,2024-10-22,Free,Free,0.0,0.0,0.0,AU,referral
102,11,churn,2024-12-24,Free,Free,0.0,0.0,0.0,AU,organic
103,11,upgrade,2024-12-31,Free,Family,0.0,14.99,14.99,AU,reconciliation
104,443,signup,2024-02-04,,Free,0.0,0.0,0.0,FR,podcast_ad
105,443,upgrade,2024-05-16,Free,Family,0.0,14.99,14.99,FR,reconciliation
106,811,signup,2023-11-23,,Free,0.0,0.0,0.0,AU,paid_search
107,811,churn,2024-03-14,Free,Free,0.0,0.0,0.0,AU,content_launch
108,811,churn,2024-10-11,Free,Free,0.0,0.0,0.0,AU,content_launch
109,811,upgrade,2024-12-31,Free,Premium,0.0,9.99,9.99,AU,reconciliation
110,658,signup,2023-11-09,,Free,0.0,0.0,0.0,DE,organic
111,658,churn,2023-12-08,Free,Free,0.0,0.0,0.0,DE,content_launch
112,658,upgrade,2024-03-06,Free,Family,0.0,14.99,14.99,DE,content_launch
113,658,retention,2024-04-19,Family,Family,14.99,14.99,0.0,DE,paid_search
114,658,downgrade,2024-06-20,Family,Premium,14.99,9.99,-5.0,DE,referral
115,658,upgrade,2024-09-29,Premium,Family,9.99,14.99,5.0,DE,reconciliation
116,317,signup,2023-11-11,,Free,0.0,0.0,0.0,JP,social_ad
117,427,signup,2024-07-23,,Free,0.0,0.0,0.0,BR,paid_search
118,427,upgrade,2024-08-13,Free,Family,0.0,14.99,14.99,BR,reconciliation
119,367,signup,2023-05-20,,Premium,0.0,9.99,9.99,CA,organic
120,367,churn,2023-06-21,Premium,Free,9.99,0.0,-9.99,CA,organic
121,367,upgrade,2023-12-16,Free,Premium,0.0,9.99,9.99,CA,billing_failure
122,367,retention,2024-04-23,Premium,Premium,9.99,9.99,0.0,CA,social_ad
123,732,signup,2024-11-12,,Free,0.0,0.0,0.0,SE,paid_search
124,266,signup,2021-06-24,,Free,0.0,0.0,0.0,US,paid_search
125,266,upgrade,2022-01-16,Free,Premium,0.0,9.99,9.99,US,paid_search
126,266,retention,2022-05-16,Premium,Premium,9.99,9.99,0.0,US,content_launch
127,266,upgrade,2022-06-10,Premium,Family,9.99,14.99,5.0,US,reconciliation
128,91,signup,2023-07-12,,Free,0.0,0.0,0.0,GB,podcast_ad
129,91,upgrade,2023-11-23,Free,Premium,0.0,9.99,9.99,GB,referral
130,91,upgrade,2024-02-04,Premium,Family,9.99,14.99,5.0,GB,reconciliation
131,507,signup,2023-11-13,,Premium,0.0,9.99,9.99,AU,referral
132,507,retention,2024-02-16,Premium,Premium,9.99,9.99,0.0,BR,organic
133,507,upgrade,2024-06-19,Premium,Family,9.99,14.99,5.0,AU,reconciliation
134,830,signup,2022-11-28,,Premium,0.0,9.99,9.99,AU,organic
135,830,downgrade,2022-12-13,Premium,Free,9.99,0.0,-9.99,ZA,retention_email
136,830,retention,2024-02-18,Free,Free,0.0,0.0,0.0,AU,price_promo
137,477,signup,2022-02-25,,Free,0.0,0.0,0.0,AU,paid_search
138,477,upgrade,2022-06-08,Free,Premium,0.0,9.99,9.99,GB,price_promo
139,477,churn,2022-07-31,Premium,Free,9.99,0.0,-9.99,AU,price_promo
140,477,upgrade,2023-03-03,Free,Family,0.0,14.99,14.99,AU,reconciliation
141,204,signup,2023-03-15,,Free,0.0,0.0,0.0,AU,organic
142,204,upgrade,2023-09-24,Free,Premium,0.0,9.99,9.99,AU,organic
143,204,retention,2023-11-19,Premium,Premium,9.99,9.99,0.0,AU,social_ad
144,204,upgrade,2023-12-15,Premium,Family,9.99,14.99,5.0,AU,reconciliation
145,46,signup,2022-06-17,,Free,0.0,0.0,0.0,DE,organic
146,46,retention,2022-09-07,Free,Free,0.0,0.0,0.0,DE,social_ad
147,46,upgrade,2022-10-01,Free,Family,0.0,14.99,14.99,DE,reconciliation
148,944,signup,2024-08-20,,Free,0.0,0.0,0.0,BR,organic
149,944,upgrade,2024-10-02,Free,Premium,0.0,9.99,9.99,BR,content_launch
150,944,churn,2024-11-25,Premium,Free,9.99,0.0,-9.99,BR,organic
151,944,upgrade,2024-12-31,Free,Premium,0.0,9.99,9.99,BR,reconciliation
152,761,signup,2022-06-05,,Free,0.0,0.0,0.0,ZA,referral
153,761,upgrade,2023-02-10,Free,Premium,0.0,9.99,9.99,ZA,billing_failure
154,761,upgrade,2023-03-22,Premium,Family,9.99,14.99,5.0,ZA,reconciliation
155,155,signup,2021-09-14,,Premium,0.0,9.99,9.99,AU,referral
156,155,retention,2021-11-13,Premium,Premium,9.99,9.99,0.0,AU,organic
157,155,upgrade,2021-12-04,Premium,Family,9.99,14.99,5.0,AU,content_launch
158,74,signup,2023-04-22,,Free,0.0,0.0,0.0,GB,paid_search
159,74,retention,2023-05-08,Free,Free,0.0,0.0,0.0,GB,paid_search
160,74,churn,2023-11-16,Free,Free,0.0,0.0,0.0,GB,referral
161,74,churn,2024-06-09,Free,Free,0.0,0.0,0.0,ZA,referral
162,129,signup,2022-08-02,,Free,0.0,0.0,0.0,JP,paid_search
163,129,upgrade,2022-09-25,Free,Premium,0.0,9.99,9.99,JP,billing_failure
164,129,churn,2022-11-09,Premium,Free,9.99,0.0,-9.99,JP,paid_search
165,129,upgrade,2023-05-10,Free,Premium,0.0,9.99,9.99,SE,social_ad
166,129,downgrade,2023-06-07,Premium,Free,9.99,0.0,-9.99,JP,reconciliation
167,376,signup,2021-05-21,,Free,0.0,0.0,0.0,US,organic
168,376,upgrade,2021-09-23,Free,Family,0.0,14.99,14.99,US,reconciliation
169,812,signup,2023-04-05,,Free,0.0,0.0,0.0,DE,organic
170,812,retention,2023-11-15,Free,Free,0.0,0.0,0.0,DE,social_ad
171,812,upgrade,2024-07-19,Free,Premium,0.0,9.99,9.99,DE,billing_failure
172,812,churn,2024-08-27,Premium,Free,9.99,0.0,-9.99,DE,social_ad
173,812,upgrade,2024-12-22,Free,Premium,0.0,9.99,9.99,DE,price_promo
174,160,signup,2023-02-25,,Free,0.0,0.0,0.0,GB,organic
175,160,upgrade,2023-06-21,Free,Premium,0.0,9.99,9.99,GB,content_launch
176,160,downgrade,2024-01-12,Premium,Free,9.99,0.0,-9.99,GB,reconciliation
177,819,signup,2021-09-10,,Free,0.0,0.0,0.0,JP,organic
178,819,churn,2021-12-07,Free,Free,0.0,0.0,0.0,JP,social_ad
179,819,upgrade,2022-02-19,Free,Premium,0.0,9.99,9.99,JP,social_ad
180,819,churn,2022-12-28,Premium,Free,9.99,0.0,-9.99,JP,paid_search
181,1,signup,2023-05-23,,Premium,0.0,9.99,9.99,US,organic
182,1,retention,2024-03-25,Premium,Premium,9.99,9.99,0.0,US,organic
183,1,downgrade,2024-12-07,Premium,Free,9.99,0.0,-9.99,US,referral
184,1,upgrade,2024-12-31,Free,Family,0.0,14.99,14.99,US,reconciliation
185,739,signup,2023-04-09,,Free,0.0,0.0,0.0,ZA,organic
186,282,signup,2024-02-04,,Free,0.0,0.0,0.0,GB,social_ad
187,961,signup,2022-06-12,,Free,0.0,0.0,0.0,FR,organic
188,961,upgrade,2023-05-25,Free,Premium,0.0,9.99,9.99,FR,organic
189,961,retention,2023-09-08,Premium,Premium,9.99,9.99,0.0,FR,social_ad
190,961,retention,2023-12-27,Premium,Premium,9.99,9.99,0.0,FR,social_ad
191,476,signup,2021-12-30,,Premium,0.0,9.99,9.99,FR,social_ad
192,476,retention,2022-04-11,Premium,Premium,9.99,9.99,0.0,FR,content_launch
193,476,upgrade,2022-08-12,Premium,Family,9.99,14.99,5.0,FR,reconciliation
194,270,signup,2024-10-20,,Family,0.0,14.99,14.99,DE,organic
195,270,downgrade,2024-12-31,Family,Premium,14.99,9.99,-5.0,DE,reconciliation
196,243,signup,2023-03-31,,Free,0.0,0.0,0.0,DE,paid_search
197,243,upgrade,2023-05-29,Free,Premium,0.0,9.99,9.99,DE,reconciliation
198,827,signup,2021-02-09,,Free,0.0,0.0,0.0,GB,social_ad
199,827,churn,2021-06-06,Free,Free,0.0,0.0,0.0,GB,social_ad
200,827,upgrade,2021-09-06,Free,Family,0.0,14.99,14.99,GB,reconciliation
201,403,signup,2024-04-13,,Free,0.0,0.0,0.0,BR,referral
202,403,churn,2024-06-08,Free,Free,0.0,0.0,0.0,BR,referral
203,403,upgrade,2024-11-12,Free,Premium,0.0,9.99,9.99,BR,social_ad
204,352,signup,2021-10-15,,Free,0.0,0.0,0.0,FR,social_ad
205,352,upgrade,2022-07-13,Free,Family,0.0,14.99,14.99,FR,organic
206,352,churn,2022-08-07,Family,Free,14.99,0.0,-14.99,FR,organic
207,352,churn,2022-12-15,Free,Free,0.0,0.0,0.0,FR,retention_email
208,352,retention,2023-11-23,Free,Free,0.0,0.0,0.0,FR,organic
209,352,retention,2024-01-15,Free,Free,0.0,0.0,0.0,FR,organic
210,352,churn,2024-08-21,Free,Free,0.0,0.0,0.0,FR,organic
211,352,upgrade,2024-09-09,Free,Family,0.0,14.99,14.99,FR,reconciliation
212,736,signup,2024-02-22,,Free,0.0,0.0,0.0,GB,social_ad
213,537,signup,2023-10-27,,Family,0.0,14.99,14.99,GB,referral
214,537,retention,2024-03-23,Family,Family,14.99,14.99,0.0,GB,content_launch
215,537,churn,2024-06-12,Family,Free,14.99,0.0,-14.99,GB,paid_search
216,537,upgrade,2024-07-24,Free,Premium,0.0,9.99,9.99,GB,reconciliation
217,664,signup,2024-11-15,,Free,0.0,0.0,0.0,DE,paid_search
218,446,signup,2024-11-10,,Free,0.0,0.0,0.0,ZA,referral
219,446,upgrade,2024-12-31,Free,Family,0.0,14.99,14.99,ZA,reconciliation
220,64,signup,2022-02-05,,Free,0.0,0.0,0.0,SE,organic
221,64,upgrade,2022-03-12,Free,Premium,0.0,9.99,9.99,SE,referral
222,64,upgrade,2022-06-04,Premium,Family,9.99,14.99,5.0,SE,reconciliation
223,5,signup,2024-01-25,,Free,0.0,0.0,0.0,AU,organic
224,5,retention,2024-04-17,Free,Free,0.0,0.0,0.0,AU,paid_search
225,5,retention,2024-06-30,Free,Free,0.0,0.0,0.0,AU,billing_failure
226,5,upgrade,2024-12-31,Free,Family,0.0,14.99,14.99,AU,reconciliation
227,39,signup,2022-04-08,,Free,0.0,0.0,0.0,AU,paid_search
228,39,retention,2023-06-24,Free,Free,0.0,0.0,0.0,AU,social_ad
229,39,churn,2023-11-04,Free,Free,0.0,0.0,0.0,AU,referral
230,575,signup,2023-07-08,,Premium,0.0,9.99,9.99,CA,podcast_ad
231,575,retention,2023-08-11,Premium,Premium,9.99,9.99,0.0,CA,organic
232,575,retention,2023-11-06,Premium,Premium,9.99,9.99,0.0,CA,organic
233,575,churn,2024-05-17,Premium,Free,9.99,0.0,-9.99,CA,social_ad
234,575,churn,2024-09-18,Free,Free,0.0,0.0,0.0,ZA,content_launch
235,575,upgrade,2024-12-31,Free,Family,0.0,14.99,14.99,CA,reconciliation
236,514,signup,2023-05-23,,Free,0.0,0.0,0.0,FR,referral
237,514,retention,2023-07-17,Free,Free,0.0,0.0,0.0,FR,content_launch
238,514,upgrade,2023-12-29,Free,Premium,0.0,9.99,9.99,FR,content_launch
239,748,signup,2021-03-21,,Free,0.0,0.0,0.0,GB,organic
240,748,upgrade,2021-05-17,Free,Premium,0.0,9.99,9.99,GB,content_launch
241,748,downgrade,2021-08-03,Premium,Free,9.99,0.0,-9.99,GB,social_ad
242,748,upgrade,2021-10-25,Free,Premium,0.0,9.99,9.99,GB,paid_search
243,748,downgrade,2021-11-12,Premium,Free,9.99,0.0,-9.99,GB,reconciliation
244,895,signup,2021-01-08,,Free,0.0,0.0,0.0,ZA,social_ad
245,895,churn,2021-05-07,Free,Free,0.0,0.0,0.0,ZA,referral
246,895,upgrade,2021-06-18,Free,Premium,0.0,9.99,9.99,ZA,reconciliation
247,174,signup,2021-03-26,,Free,0.0,0.0,0.0,FR,paid_search
248,174,churn,2021-06-13,Free,Free,0.0,0.0,0.0,FR,referral
249,174,upgrade,2021-11-04,Free,Premium,0.0,9.99,9.99,FR,content_launch
250,174,churn,2021-12-14,Premium,Free,9.99,0.0,-9.99,FR,price_promo
251,174,upgrade,2022-02-23,Free,Premium,0.0,9.99,9.99,FR,price_promo
252,958,signup,2021-07-06,,Free,0.0,0.0,0.0,GB,referral
253,958,upgrade,2021-08-17,Free,Premium,0.0,9.99,9.99,ZA,organic
254,958,churn,2022-04-29,Premium,Free,9.99,0.0,-9.99,GB,content_launch
255,958,churn,2022-06-18,Free,Free,0.0,0.0,0.0,GB,social_ad
256,958,upgrade,2022-08-07,Free,Premium,0.0,9.99,9.99,GB,reconciliation
257,932,signup,2022-01-12,,Free,0.0,0.0,0.0,SE,organic
258,932,upgrade,2022-02-02,Free,Premium,0.0,9.99,9.99,SE,social_ad
259,932,churn,2022-07-18,Premium,Free,9.99,0.0,-9.99,SE,organic
260,932,upgrade,2022-09-01,Free,Family,0.0,14.99,14.99,SE,reconciliation
261,616,signup,2024-08-17,,Free,0.0,0.0,0.0,ZA,podcast_ad
262,616,upgrade,2024-09-13,Free,Premium,0.0,9.99,9.99,ZA,reconciliation
263,530,signup,2023-01-28,,Free,0.0,0.0,0.0,AU,paid_search
264,530,upgrade,2023-08-23,Free,Family,0.0,14.99,14.99,GB,content_launch
265,530,downgrade,2023-09-25,Family,Premium,14.99,9.99,-5.0,AU,referral
266,530,downgrade,2024-07-05,Premium,Free,9.99,0.0,-9.99,AU,reconciliation
267,176,signup,2024-03-09,,Premium,0.0,9.99,9.99,CA,organic
268,176,churn,2024-07-13,Premium,Free,9.99,0.0,-9.99,CA,social_ad
269,176,upgrade,2024-08-12,Free,Premium,0.0,9.99,9.99,CA,reconciliation
270,178,signup,2024-05-08,,Free,0.0,0.0,0.0,GB,organic
271,178,retention,2024-06-03,Free,Free,0.0,0.0,0.0,GB,content_launch
272,178,churn,2024-08-25,Free,Free,0.0,0.0,0.0,GB,social_ad
273,18,signup,2023-12-10,,Free,0.0,0.0,0.0,AU,paid_search
274,433,signup,2024-06-15,,Free,0.0,0.0,0.0,ZA,paid_search
275,433,upgrade,2024-10-07,Free,Premium,0.0,9.99,9.99,GB,billing_failure
276,433,upgrade,2024-12-31,Premium,Family,9.99,14.99,5.0,ZA,reconciliation
277,192,signup,2023-12-20,,Free,0.0,0.0,0.0,SE,organic
278,192,retention,2024-01-18,Free,Free,0.0,0.0,0.0,SE,retention_email
279,192,upgrade,2024-08-28,Free,Premium,0.0,9.99,9.99,SE,social_ad
280,192,churn,2024-11-21,Premium,Free,9.99,0.0,-9.99,SE,social_ad
281,192,upgrade,2024-12-18,Free,Premium,0.0,9.99,9.99,SE,reconciliation
282,133,signup,2023-12-22,,Free,0.0,0.0,0.0,BR,referral
283,133,retention,2024-03-23,Free,Free,0.0,0.0,0.0,BR,billing_failure
284,133,retention,2024-04-24,Free,Free,0.0,0.0,0.0,BR,billing_failure
285,63,signup,2024-08-09,,Family,0.0,14.99,14.99,ZA,organic
286,63,retention,2024-09-12,Family,Family,14.99,14.99,0.0,ZA,organic
287,63,downgrade,2024-09-28,Family,Premium,14.99,9.99,-5.0,ZA,reconciliation
288,641,signup,2023-05-25,,Free,0.0,0.0,0.0,CA,organic
289,641,churn,2023-07-10,Free,Free,0.0,0.0,0.0,CA,retention_email
290,641,churn,2023-10-02,Free,Free,0.0,0.0,0.0,AU,social_ad
291,641,churn,2023-10-17,Free,Free,0.0,0.0,0.0,CA,content_launch
292,641,upgrade,2024-02-21,Free,Family,0.0,14.99,14.99,CA,reconciliation
293,686,signup,2023-02-11,,Free,0.0,0.0,0.0,CA,organic
294,686,retention,2023-09-19,Free,Free,0.0,0.0,0.0,CA,organic
295,686,churn,2023-11-13,Free,Free,0.0,0.0,0.0,CA,organic
296,686,upgrade,2024-01-10,Free,Premium,0.0,9.99,9.99,CA,reconciliation
297,632,signup,2024-07-23,,Free,0.0,0.0,0.0,SE,social_ad
298,632,upgrade,2024-09-10,Free,Family,0.0,14.99,14.99,SE,content_launch
299,110,signup,2022-10-26,,Free,0.0,0.0,0.0,JP,referral
300,110,churn,2023-03-23,Free,Free,0.0,0.0,0.0,JP,retention_email
301,110,upgrade,2023-06-09,Free,Family,0.0,14.99,14.99,JP,referral
302,110,retention,2024-08-07,Family,Family,14.99,14.99,0.0,JP,paid_search
303,110,downgrade,2024-08-29,Family,Premium,14.99,9.99,-5.0,JP,reconciliation
304,41,signup,2024-03-30,,Free,0.0,0.0,0.0,GB,organic
305,41,upgrade,2024-08-15,Free,Premium,0.0,9.99,9.99,GB,content_launch
306,41,upgrade,2024-09-18,Premium,Family,9.99,14.99,5.0,GB,retention_email
307,106,signup,2021-03-20,,Free,0.0,0.0,0.0,BR,referral
308,106,upgrade,2021-05-30,Free,Premium,0.0,9.99,9.99,BR,social_ad
309,106,retention,2021-06-16,Premium,Premium,9.99,9.99,0.0,GB,price_promo
310,106,churn,2021-11-14,Premium,Free,9.99,0.0,-9.99,BR,retention_email
311,106,upgrade,2022-02-16,Free,Premium,0.0,9.99,9.99,BR,paid_search
312,752,signup,2021-01-02,,Free,0.0,0.0,0.0,CA,social_ad
313,752,retention,2021-04-30,Free,Free,0.0,0.0,0.0,CA,paid_search
314,752,churn,2021-12-07,Free,Free,0.0,0.0,0.0,CA,content_launch
315,752,upgrade,2022-04-01,Free,Premium,0.0,9.99,9.99,CA,reconciliation
316,740,signup,2023-02-11,,Free,0.0,0.0,0.0,BR,referral
317,740,upgrade,2023-03-14,Free,Premium,0.0,9.99,9.99,BR,content_launch
318,740,retention,2023-04-18,Premium,Premium,9.99,9.99,0.0,BR,content_launch
319,740,upgrade,2023-07-30,Premium,Family,9.99,14.99,5.0,BR,organic
320,740,downgrade,2023-09-04,Family,Premium,14.99,9.99,-5.0,BR,price_promo
321,740,downgrade,2023-11-10,Premium,Free,9.99,0.0,-9.99,BR,reconciliation
322,295,signup,2021-04-18,,Premium,0.0,9.99,9.99,ZA,organic
323,295,retention,2022-02-11,Premium,Premium,9.99,9.99,0.0,ZA,social_ad
324,295,upgrade,2022-06-17,Premium,Family,9.99,14.99,5.0,ZA,billing_failure
325,295,downgrade,2022-09-22,Family,Free,14.99,0.0,-14.99,ZA,reconciliation
326,55,signup,2024-11-26,,Free,0.0,0.0,0.0,DE,organic
327,55,upgrade,2024-12-20,Free,Premium,0.0,9.99,9.99,DE,paid_search
328,55,upgrade,2024-12-31,Premium,Family,9.99,14.99,5.0,DE,reconciliation
329,320,signup,2021-01-09,,Free,0.0,0.0,0.0,JP,paid_search
330,320,churn,2021-01-30,Free,Free,0.0,0.0,0.0,JP,price_promo
331,320,upgrade,2021-06-05,Free,Premium,0.0,9.99,9.99,JP,price_promo
332,320,upgrade,2021-06-21,Premium,Family,9.99,14.99,5.0,JP,reconciliation
333,810,signup,2023-11-15,,Premium,0.0,9.99,9.99,BR,organic
334,143,signup,2021-12-22,,Free,0.0,0.0,0.0,ZA,organic
335,143,upgrade,2022-09-08,Free,Premium,0.0,9.99,9.99,ZA,billing_failure
336,796,signup,2024-11-13,,Free,0.0,0.0,0.0,FR,social_ad
337,463,signup,2022-07-12,,Free,0.0,0.0,0.0,GB,podcast_ad
338,463,upgrade,2022-12-15,Free,Premium,0.0,9.99,9.99,GB,price_promo
339,463,retention,2023-04-12,Premium,Premium,9.99,9.99,0.0,GB,content_launch
340,463,retention,2023-07-26,Premium,Premium,9.99,9.99,0.0,GB,billing_failure
341,141,signup,2021-02-09,,Free,0.0,0.0,0.0,GB,social_ad
342,934,signup,2021-02-09,,Free,0.0,0.0,0.0,AU,organic
